Unnamed: 0,序号,零件号,零件名称,车型项目,零件重量(KG),零件尺寸L,零件尺寸W,零件尺寸H,包装等级分类,单车用量,零件质量要求,包装袋情况,干燥剂情况
,1.0,Q218B0618F61,内六角圆柱头螺钉,97X-LC-C项目,0.006,18.0,6.0,6.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,2.0,H97A3506012AA,后制动软管（左）,97X-LC-C项目,0.13,25.0,17.0,18.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,3.0,H97X9201003AA,E-mark标签,97X-LC-C项目,0.0011,80.0,40.0,1.0,C,1.0,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,,
,4.0,HQY1461035X2,六角头螺栓、弹簧垫圈和平垫圈组合件,97X-LC-C项目,0.04,40.0,24.0,24.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,5.0,H97A2904015AA,前悬架左后上控制臂总成,97X-LC-C项目,0.45,260.0,150.0,70.0,C,1.0,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,,
,6.0,H97C1303142AB,中冷水泵进水管总成,97X-LC-C项目,0.292,710.0,180.0,130.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,7.0,H97D5120002BC,后部下防护板,97X-LC-C项目,2.3,1690.0,1583.0,176.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,8.0,Q673C27F62,钢带式弹性软管夹箍,97X-LC-C项目,0.0112,27.0,27.0,12.0,C,23.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,9.0,H97A5016003AA,贴片 Φ30,97X-LC-C项目,0.0001,30.0,1.0,2.0,C,41.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,10.0,H97A7010002AA,右后排座椅靠背总成固定锁销,97X-LC-C项目,0.258,100.0,80.0,90.0,C,1.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,11.0,09406-08302,卡扣,97X-LC-C项目,0.0013,36.0,20.0,20.0,C,13.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,12.0,HQY27A4816,内六角花形自攻螺钉,97X-LC-C项目,0.003,20.0,10.0,10.0,C,11.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,13.0,H97E6301080AA,后背门右侧扰流板总成,97X-LC-C项目,N,301.0,139.0,37.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,14.0,H97A5016008AA,热熔堵盖Φ30,97X-LC-C项目,0.0032,40.0,40.0,10.0,C,26.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,15.0,HQY33912T10L1U,非金属嵌件六角法兰面锁紧螺母,97X-LC-C项目,0.028,18.0,30.0,30.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,16.0,H97A8405005AB,机舱左前装饰板总成,97X-LC-C项目,0.606,510.0,490.0,120.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,17.0,6106100-RA01,左前门上铰链总成,97X-LC-C项目,4.324,100.0,90.0,60.0,C,3.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,18.0,H97A5520085ADTE15,左B柱上饰板总成,97X-LC-C项目,0.593,461.0,267.0,83.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,19.0,H97A5522001CB,行李箱地毯总成,97X-LC-C项目,2.9,1180.0,1150.0,60.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,20.0,H97A5301057AB,前防撞梁连接板（左）,97X-LC-C项目,0.321(±8%),275.0,155.0,25.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,21.0,H97A5205012AA,右前雨刮臂总成,97X-LC-C项目,0.543,776.0,111.0,66.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,22.0,H97A5520102AA,行李箱右后绳钩装饰件,97X-LC-C项目,0.016,70.0,30.0,60.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,23.0,HQY643005,单管管夹,97X-LC-C项目,N,20.0,20.0,20.0,C,1.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,24.0,H97A3716008AA,后组合灯移动侧右侧板,97X-LC-C项目,0.06,140.0,105.0,75.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,25.0,H97A5501080AABEGA,仪表板右端盖总成,97X-LC-C项目,0.236(0.234),420.0,250.0,100.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,26.0,H97A8405010AA,机舱右前装饰板总成,97X-LC-C项目,0.601,600.0,100.0,600.0,C,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,27.0,H97C3721002AB,高音喇叭,97X-LC-C项目,0.243,124.0,96.0,82.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,28.0,HQY18014145T10L1A,带导向六角法兰面螺栓和带齿垫圈组合件,97X-LC-C项目,0.237,100.0,12.0,12.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,29.0,H97A6203023AA,左后门玻璃后导轨,97X-LC-C项目,0.09,299.0,68.0,64.0,C,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,30.0,H97A5006065AC,左后门C柱装饰板总成,97X-LC-C项目,0.168,433.0,193.0,33.0,B,1.0,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,,
,31.0,Q673C23F62K,钢带式弹性软管夹箍-预张开式,97X-LC-C项目,0.0145,1.0,1.0,1.0,C,5.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,32.0,HQY215B0612,内六角花形大盘头螺钉,97X-LC-C项目,0.0073,20.0,20.0,20.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,33.0,H97A2803033AA,前保险杠左上安装座,97X-LC-C项目,0.02,22.0,75.0,61.0,C,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,34.0,H56A1104023AA,油管双管夹Ⅱ,97X-LC-C项目,0.016,58.0,27.0,14.0,C,3.0,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,,
,35.0,H97C9325010XA,电池包后高压线束总成,97X-LC-C项目,1.65,2445.0,90.0,45.0,C,1.0,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,,
,36.0,HQ1840620,六角法兰面螺栓,97X-LC-C项目,0.007,20.0,6.0,6.0,C,4.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,37.0,H97D3101025ABBG03,左前轮眉装饰件总成,97X-LC-C项目,0.513,1052.0,575.0,69.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,38.0,H97Y2804005ABBK01,后保险杠总成,97X-LC-C项目,0,1890.0,760.0,760.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,39.0,H97A7903003ABBG03,鲨鱼鳍天线,97X-LC-C项目,0.483,220.0,83.0,88.0,B,1.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
,40.0,HQY71625,7/16英制螺栓（25）,97X-LC-C项目,0.033,25.0,12.0,12.0,C,6.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,41.0,HQY1470616T8L1,十字槽六角头法兰面螺栓,97X-LC-C项目,0.0062,20.0,10.0,10.0,C,11.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,42.0,HQY32206L,六角螺母和锥形大垫圈组合件,97X-LC-C项目,0.0105,30.0,30.0,10.0,C,2.0,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,,
,43.0,H97A6103007AA,左前门玻璃导槽总成,97X-LC-C项目,1.14,1230.0,892.0,35.0,B,1.0,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,,
,44.0,H97B7911001BABEGC,麦克风,97X-LC-C项目,0.004,28.0,27.0,16.0,C,2.0,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,,
