零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件重量（KG）,零件种类,CKD包装类型,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H,CKD 包装尺寸L,CKD 包装尺寸L.1,CKD 包装尺寸L.2,CKD SNP
H97C9325010AA,电池包后高压线束总成,,,1. 核心防护：防震动、防潮湿、防静电、防冲击；2. 电气要求：绝缘性能良好，无短路风险；3. 外观要求：外壳无破损，接口无变形；4. 存储要求：温度-20~50℃，湿度≤60%,C,1.0,采购件,1.65,总装,纸箱,,,,,720.0,720.0,720.0,6.0
H97A9512003AA,防异响毛毡,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,6.0,采购件,0.001,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97X5400010XA,右侧围总成,防锈袋,有,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,A,1.0,焊装自制件,,焊装件,铁架,,3997,685,1605,3660.0,3660.0,3660.0,4.0
H56A3504001AB,制动开关,,,1. 核心防护：防油污、防划伤、防锈蚀；2. 性能要求：摩擦系数符合标准，无偏磨；3. 外观要求：表面无油污，无锈蚀；4. 尺寸要求：厚度、直径符合设计要求,C,1.0,采购件,0.021,总装,纸箱,0.021,68.66,28.28,45.49,360.0,360.0,360.0,48.0
H56A6109003AA,车门缓冲块,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,4.0,采购件,0.003,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97B7911002BA,单麦克风,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.0023,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H97A3716008AA,后组合灯移动侧右侧板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.06,总装,纸箱,0.05,172.93,99.94,87.82,360.0,360.0,360.0,24.0
H97A7909004AA,重低音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,2.605,总装,纸箱,,,,,720.0,720.0,720.0,6.0
H97A6309003AA,背门限位器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.028,总装,纸箱,,,,,360.0,360.0,360.0,48.0
H56A8402039AA,发动机罩缓冲块,,,1. 核心防护：防老化、防挤压、防变形；2. 材质要求：无裂纹、无异味、无破损；3. 尺寸要求：关键尺寸偏差≤±1.0mm；4. 性能要求：弹性符合设计标准,C,4.0,采购件,0.11,总装,纸箱,0.11,38,30,25,360.0,360.0,360.0,48.0
H97Y3402001AAAE05,方向盘总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,1.718,总装,纸箱,1.75,379,341,203,720.0,720.0,720.0,4.0
H97D5518005ABTK11,天窗总成,防锈袋,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,A,1.0,采购件,22.3,总装,天地盖纸箱,12.2,1030,137,737,1800.0,1800.0,1800.0,6.0
H97A6103008AA,右前门玻璃导槽总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,1.14,总装,天地盖纸箱,0.97,985,959,201,1480.0,1480.0,1480.0,24.0
H97D5520110AABEGA,右后侧围内饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,2.046,总装,天地盖纸箱,,,,,1320.0,1320.0,1320.0,5.0
H97D5120004AA,后部下防护板支架,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,,总装,纸箱,,,,,720.0,720.0,720.0,16.0
H97A5520163ABBEGA,左C柱下装饰盖板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,0.031,总装,纸箱,,,,,360.0,360.0,360.0,24.0
H97A5526001AAJG08,前排安全拉手,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,0.11,总装,纸箱,,,,,720.0,720.0,720.0,48.0
H97A5505021AABEGA,左前延伸板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,0.365,总装,纸箱,0.203,326,236,72,560.0,560.0,560.0,12.0
H97E5001055AA,GCU安装托盘总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,1.931,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,24.0
H97D1303061AA,后电机进水软管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,,总装,纸箱,0.229,312,240,203,720.0,720.0,720.0,16.0
H97E6301080AA,后背门右侧扰流板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,,总装,纸箱,0.509,1546,481,293,720.0,720.0,720.0,12.0
H97A5515023AB,遮物帘总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,1.73,总装,天地盖纸箱,,,,,1480.0,1480.0,1480.0,12.0
H97A5505006AABKGB,贯穿式储物盒胶垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,0.179,总装,纸箱,,243.95,167.64,26.12,360.0,360.0,360.0,24.0
