零件号,零件名称,包装袋情况,干燥剂情况,零件质量要求,包装等级分类,单车用量,零件分类,零件种类,零件重量KG,零件尺寸L,零件尺寸W,零件尺寸H
H97A2904015AA,前悬架左后上控制臂总成,,,1. 核心防护：防变形、防碰撞、防锈蚀；2. 强度要求：符合设计承载标准；3. 外观要求：无裂纹、无变形、无锈蚀；4. 性能要求：减震性能良好，无异常噪音,C,1.0,采购件,总装,0.0145,35.0,10.0,10.0
H97A5016003AA,贴片 Φ30,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,41.0,采购件,总装,0.0056,30,3.52,29.98
H97A7010002AA,右后排座椅靠背总成固定锁销,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,1.0,采购件,总装,2.3,1690.0,1583.0,176.0
H97E6301080AA,后背门右侧扰流板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.509,1546,481,293
H97A5520085ADTE15,左B柱上饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.743,570,272,180
H97A5522001CB,行李箱地毯总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,采购件,总装,0.002,20.0,20.0,20.0
H97A5301057AB,前防撞梁连接板（左）,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,焊装件,焊装件,0.0013,36.0,20.0,20.0
H97A5205012AA,右前雨刮臂总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.543,649,101,74
H97A3716008AA,后组合灯移动侧右侧板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.05,172.93,99.94,87.82
H97A5501080AABEGA,仪表板右端盖总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.172,460.93,143.75,93.43
H97C3721002AB,高音喇叭,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.24,135,95,83
H97A5006065AC,左后门C柱装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,B,1.0,采购件,总装,0.423,207.95,139.73,451.7
HQY215B0612,内六角花形大盘头螺钉,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,4.0,采购件,总装,0.593,461.0,267.0,83.0
H97A2803033AA,前保险杠左上安装座,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,2.9,1180.0,1150.0,60.0
H56A1104023AA,油管双管夹Ⅱ,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,3.0,采购件,总装,0.016,14,60.4,27
H97Y2804005ABBK01,后保险杠总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,1.0,涂装件,总装,0.06,1896.24,800,820.24
H97A6103007AA,左前门玻璃导槽总成,,,1. 核心防护：防冲击、防划伤、防破碎；2. 外观要求：无气泡、无划痕、无杂质；,B,1.0,采购件,总装,0.97,985,959,201
H97A5001047AB,前排右后拉手支架组件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.168,433.0,193.0,33.0
H97C2803027AA,散热器导流框,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.0145,50.0,50.0,12.0
H97A5525001AATE15,左遮阳板,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.53,440.67,194.44,79.54
H97A6207028AA,右后门防水膜,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.02,438.85,435.86,60.08
H97A1104014AA,油箱隔离阀导管,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.016,58.0,27.0,14.0
H97Z3923006AB,充电指示标签,,,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,C,1.0,采购件,总装,1.65,2445.0,90.0,45.0
H97C3923004AC,胎压警示标签,,,1. 核心防护：防磨损、防脱落、防污损；2. 内容要求：字迹清晰，信息完整准确；3. 粘贴要求：粘贴牢固，无气泡、无起翘；4. 耐久性：符合户外使用要求,C,1.0,采购件,总装,0.001,78,56,32
H97D9246001BA,电池包流入管总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.093,97.0,25.0,25.0
H97A5526001AAJG08,前排安全拉手,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.121,120.0,12.0,12.0
H97D5013007AB,前围外隔音垫,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,5.399,899,453,125
H97A7909007BA,低音扬声器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,B,2.0,采购件,总装,0.034,40.0,10.0,10.0
H97C5505019AABKAA,上面板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.67,361,343,65
H77A6105900AA,锁芯及机械钥匙合件,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,1.0,采购件,总装,0.022,44.29,90.61,40.93
H97A6309002AA,车体上背门限位器,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.019,34.32,43.66,39.6
H97A3102001ABPK01,车轮装饰盖,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,4.0,采购件,总装,0.031,69.24,69.24,28.58
H97A5515015ABJK05,后背门左侧装饰板总成,,,1. 核心防护：防变形、防划伤、防碰撞；2. 尺寸要求：关键尺寸偏差≤±0.5mm；3. 表面要求：无凹陷、无划痕、无锈蚀；4. 材质要求：符合设计强度标准,C,1.0,采购件,总装,0.31,479,254,216
H97A6205011AA,后门外开拉丝总成,,,1. 核心防护：防损伤、防污损、防丢失；2. 外观要求：表面无划痕、无锈蚀、无破损；3. 尺寸要求：符合设计图纸要求；4. 通用要求：无明显质量缺陷,C,2.0,采购件,总装,0.074,548.43,426.91,128.74
H97A3506004AA,制动管路4号总成,,,1. 核心防护：防挤压、防破损、防老化；2. 密封要求：接口密封良好，无泄漏风险；3. 材质要求：无裂纹、无气泡、无破损；4. 尺寸要求：内径、壁厚符合设计要求,C,1.0,采购件,总装,0.152,897,302,227
HQY401B14,平垫圈,,,1. 核心防护：防腐蚀、防丢失、防损伤；2. 材质要求：无锈蚀、无裂纹、无变形；,C,2.0,采购件,总装,0.0087,30.0,6.0,6.0
