零件名称,零件等级（ABC）,零件重量KG,单车用量,零件尺寸L,零件尺寸W,零件尺寸H,来料SNP,来料包装L,来料包装W,来料包装H,零件分类
卡扣,/,/,1.0,/,/,/,/,/,/,/,STD
卡扣,/,/,4.0,/,/,/,/,/,/,/,STD
卡扣,/,/,3.0,/,/,/,/,/,/,/,STD
A型通孔式嵌装塑料螺母,/,/,8.0,/,/,/,/,/,/,/,STD
车门上背门限位块堵盖,C,0.001,4.0,18.15,19.46,18.74,1000,400,300,230,P
大头枕软枕总成,C,,4.0,,,,10,505,455,330,P
大头枕软枕总成,C,,4.0,,,,10,505,455,330,P
大头枕软枕总成,C,,4.0,,,,10,505,455,330,P
加速踏板,C,0.426,1.0,185.24,117.59,212.06,15,650,435,260,P
充电指示标签,C,,1.0,,,,2000,365,275,160,P
背门锁总成,C,0.552,1.0,84.15,158.77,120.74,20,650,435,260,P
6.5寸低音扬声器,C,0.716,4.0,188,183,73,15,650,435,210,P
左侧电动门开关,C,0.016,1.0,41,40,25,320,650,435,260,P
右侧电动门开关,C,0.016,1.0,41,40,25,320,650,435,260,P
背门缓冲块,C,0.014,2.0,35.62,30.76,55,300,550,365,210,P
发动机左悬置总成,C,2.4,1.0,215,174,139,5,550,365,210,P
空气滤清器总成,C,1.08,1.0,367,227,210,48,1200,1000,950,P
电池横梁吊钩,C,0.175,1.0,129,61,64,20,400,300,160,P
后消声器总成,C,10.9,1.0,1550,1328,218,12,2100,1140,1710,P
前部消音器隔热板,C,0.4,1.0,446,199,141,20,600,400,320,P
前端排气管总成,C,1.61,1.0,500,270,153,42,1330,1140,1150,P
发电机控制器高压线束总成支架2,C,0.97,1.0,223,184,152,10,435,325,210,P
发动机后悬置总成,C,1.202,1.0,204.01,86.85,106,10,435,325,210,P
悬置隔热罩,C,0.083,1.0,208.42,59.64,80,150,600,400,148,P
燃油蒸气管3,C,0.039,1.0,206,94,28,200,600,400,220,P
油管双管夹Ⅱ,C,0.016,9.0,14,60.4,27,300,550,365,210,P
空气过滤器,C,0.09,1.0,119.72,92.83,81.79,60,600,400,280,P
电动气泵带支架及附件总成,C,8.172,1.0,372.26,406.91,253.03,18,1200,1000,1150,P
隔振垫1,C,0.007,1.0,22.45,21.97,20.02,1000,650,436,260,P
主储气筒总成,C,2.42,1.0,207.53,774.03,140,20,1200,1000,1000,P
后隔热板,C,0.57,1.0,473.01,791,113.21,300,1330,1140,730,P
消声器密封垫,C,0.05,2.0,54.42,84.28,102.05,450,400,300,150,P
球面密封垫,C,0.036,1.0,,,,60,435,325,160,P
球面法兰连接弹簧,C,0.029,2.0,,,,200,400,300,120,P
球面法兰连接螺栓,C,0.065,2.0,,,,200,400,300,120,P
孔式尼龙双管夹,C,0.02,7.0,14.03,60.01,28.09,600,400,300,280,P
Ф20尼龙水管双管夹,C,0.029,3.0,28,72,27.89,300,550,365,210,P
Ф23橡胶水管双管夹,C,0.016,1.0,20,73.5,31.65,300,550,365,210,P
后暖芯进水软管,C,0.06,1.0,155.74,53.99,73.6,150,650,436,260,P
后暖芯出水软管,C,0.06,1.0,171.85,58.5,73.6,150,650,436,260,P
后电机进水软管,C,0.229,1.0,312,240,203,40,600,400,280,P
后电机进水管总成,C,0.496,1.0,550,519,318,20,800,600,280,P
后暖芯后舱进出水硬管总成,B,0.625,1.0,1004.15,604.06,231.14,14,1330,1140,1150,P
右前驱动轴总成,B,8.05,1.0,118.6,619.27,139.77,84,1200,1000,1000,P
前保险杠吸能块,C,0.108,1.0,1362,213,62,39,1600,1140,730,P
前保险杠左安装座,C,0.071,1.0,227.2,84.93,130.11,76,435,325,210,P
前保险杠右安装座,C,0.071,1.0,227.22,84.93,130.11,76,435,325,210,P
前保险杠中间支架合件,C,0.706,1.0,211.9,1017.01,78.5,11,1100,550,330,DU
后保险杠上安装座,C,0.617,1.0,128.85,929.93,119.46,24,1100,550,330,P
后保险杠左安装座,C,0.159,1.0,178.41,62.06,333.78,75,650,435,260,P
后保险杠右安装座,C,0.159,1.0,178.41,62.06,333.78,75,650,435,260,P
后保险杠左上安装座,C,0.468,1.0,151.99,189.16,325.35,33,1100,550,330,P
后保险杠右上安装座,C,0.468,1.0,151.99,189.16,325.35,33,1100,550,330,P
后保险杠左安装座2,C,0.592,1.0,472.31,74.93,399.13,15,1100,550,330,P
后保险杠右安装座2,C,0.592,1.0,472.31,74.93,399.13,15,1100,550,330,P
前悬架左上控制臂总成,C,1.09,1.0,278.2,283.96,100.96,8,600,400,148,P
前悬架右上控制臂总成,C,1.09,1.0,278.2,283.96,100.96,8,600,400,148,P
方形垫片焊接螺母,C,0.02,4.0,23.6,26.6,13,380,435,325,160,P
前稳定杆左接头总成,/,0.441,1.0,73.33,111.59,242.1,30,600,400,148,/
前稳定杆右接头总成,/,0.441,1.0,73.33,111.59,242.1,30,600,400,148,/
左前空气弹簧管路前段,C,0.057,1.0,446.85,213.59,566.8,60,650,435,210,P
左后空气弹簧管路,C,0.051,1.0,700.23,1303.83,202.38,60,1100,550,330,P
右后空气弹簧管路,C,0.05,1.0,727.03,710.45,228.38,40,1100,550,330,P
气泵主储气罐连接管路,C,0.039,1.0,371.86,444.84,227.34,120,1100,550,330,P
后车身加速度传感器带支架总成,C,0.054,1.0,31.03,75.52,30.2,234,550,365,210,P
左前轮罩挡泥板总成,B,1.232,1.0,986.46,565.96,750.77,20,1330,1140,1090,P
右前轮罩挡泥板总成,B,1.34,1.0,986.46,534.89,751.77,20,1330,1140,1090,P
左下裙板总成,B,1.722,1.0,2313,170,127,24,2500,1150,1200,P
右下裙板总成,B,1.722,1.0,2313,170,127,24,2500,1150,1200,P
制动储油壶,C,0.15,1.0,165,150,93,14,555,355,208,P
储油壶进油管,C,0.063,1.0,361.4,73.99,85.88,100,600,400,220,P
制动开关,C,0.021,1.0,68.66,28.28,45.49,120,435,325,210,P
制动踏板总成,B,1.78,1.0,464,207,260,60,1140,980,1050,P
制动管路3号总成,C,0.053,1.0,230,111,254,100,530,365,210,P
制动管路5号总成,C,0.06,1.0,378,129,148,100,530,365,210,P
制动管路6号总成,C,0.055,1.0,322,174,134,100,530,365,210,P
制动管路7号总成,B,0.297,1.0,2715,455,248,300,3000,1140,1200,P
制动管路单管夹,C,0.0017,6.0,16,23.17,16,1000,365,275,210,P
左前制动软管总成,C,0.15,1.0,341.43,296.27,192.22,80,1100,365,210,P
右前制动软管总成,C,0.15,1.0,341.43,296.27,192.22,80,1100,365,210,P
左后制动软管总成,C,0.126,1.0,50.65,164.42,114.77,100,435,325,210,P
右后制动软管总成,C,0.126,1.0,50.65,164.42,114.77,100,435,325,210,P
制动管路双管夹,C,0.0027,1.0,25,23.17,16,500,365,275,210,P
发动机控制器本体,C,0.61,1.0,237.64,46,246.77,14,516,345,213,P
左轮速传感器总成,C,0.009,1.0,71,41,17,140,550,365,160,P
右轮速传感器总成,C,0.009,1.0,71,41,17,140,550,360,150,P
电动背门控制器,C,0.148,1.0,171.08,98.37,42.17,36,650,435,260,KZQZC
安全气囊控制器,C,0.24,1.0,113.03,112.17,34.8,32,650,435,210,KZQZC
整车控制器总成,C,0.43,1.0,142.22,205.11,82.87,20,560,356,240,P
左前照灯,B,6,1.0,682.21,454.14,301.16,9,1140,980,1050,P
右前照灯,B,6,1.0,682.21,454.14,301.16,9,1140,980,1050,P
左前位置灯,C,1.15,1.0,398,206,81,10,1100,550,330,P
右前位置灯,C,1.15,1.0,398,206,81,10,1100,550,330,P
智能遥控钥匙,C,0.035,2.0,76.51,42.47,16.53,48,380,235,185,P
左侧电动滑移门开关,C,0.05,1.0,48,47,45,147,550,365,210,P
右侧电动滑移门开关,C,0.05,1.0,48,47,45,147,550,365,210,P
低音喇叭,C,0.24,1.0,135,95,83,24,650,435,210,P
高音喇叭,C,0.24,1.0,135,95,83,24,650,435,210,P
左滑移门线束总成,C,0,1.0,608.8,180.75,237.24,10,650,435,260,P
右滑移门线束总成,C,0,1.0,608.8,180.75,237.24,10,650,435,260,P
拖钩,C,0.608,1.0,228,56,22,20,280,230,100,P
反光背心,C,/,1.0,,,,100,580,240,350,P
充气泵,C,0.75,1.0,58,150,150,23,650,435,210,P
加油警示标签,C,/,1.0,,,,6000,365,275,160,P
空调制冷剂标签,C,/,1.0,,,,4800,365,275,160,P
机舱连接板补板总成,C,0.496,1.0,504,172,67,15,650,435,210,P
轮罩与底护板左安装支架总成,C,0.63,1.0,224,190,177,20,650,435,260,P
前端模块锁支架组件,/,0.679,1.0,164.01,126,345.4,12,650,430,210,/
泄压阀总成,C,0.081,2.0,178.79,46.78,146.87,28,600,400,280,P
左前车门防擦条总成,B,0.342,1.0,1090.06,61.42,255.39,7,1200,400,340,P
右前车门防擦条总成,B,0.342,1.0,1090.06,61.42,255.39,7,1200,400,340,P
左后车门防擦条总成,B,0.227,1.0,989.31,30.03,46.16,14,1200,400,230,P
右后车门防擦条总成,B,0.227,1.0,989.31,30.03,46.16,14,1200,400,230,P
左后门C柱装饰板总成,B,0.423,1.0,207.95,139.73,451.7,8,600,400,220,P
右后门C柱装饰板总成,B,0.423,1.0,207.95,139.73,451.7,8,600,400,220,P
前风窗玻璃左装饰条总成,B,0.268,1.0,949,568,122,18,1200,400,230,P
前风窗玻璃左装饰卡条,C,0.056,1.0,633.9,87.66,367.45,200,1100,365,210,P
前风窗玻璃右装饰条总成,B,0.268,1.0,949,568,122,18,1200,400,230,P
前风窗玻璃右装饰卡条,C,0.056,1.0,633.9,87.66,367.45,200,1100,365,210,P
左翼子板后装饰件,C,0.205,1.0,98.49,114.6,865.63,12,1100,365,210,P
右翼子板后装饰件,C,0.205,1.0,98.49,114.6,865.63,12,1100,365,210,P
导水板,C,0.1,1.0,232,130,100,30,650,435,260,P
前风窗装饰条固定卡夹,C,0.003,4.0,20.59,12.97,16.95,2000,365,275,110,P
后背门装饰条总成,B,0.149,1.0,1404,70,30,198,1472,1142,710,P
后导流板总成合件,B,3.28,1.0,1504,281,130,18,1800,1140,1140,DU
后部右防护板钣金支架总成1,C,0.129,1.0,190,44,37,160,435,325,160,P
后部下防护板钣金支架5总成,C,0.11,1.0,108,88,33,100,435,325,210,DU
LLP横梁右连接板总成,C,0.154,1.0,13.01,122.26,95.24,80,435,325,210,P
LLP横梁左连接板组件,C,0.154,1.0,13.01,122.26,95.24,80,435,325,210,P
左后侧围吸音棉,C,0.045,1.0,348.17,94.26,470.06,22,650,435,260,P
右后侧围吸音棉,C,0.045,1.0,347.98,89.92,469.95,22,650,435,260,P
发动机罩隔音垫,C,0.216,1.0,531.4,1323.13,128.94,60,1600,1140,1150,P
导水槽隔音垫,C,0.02,1.0,243.96,718,62.55,60,1100,550,330,P
车身缓冲块贴片Φ28,C,0.001,8.0,28,27.92,0.2,12000,600,400,150,P
车身缓冲块贴片Φ18,C,0.001,2.0,18,17.95,0.2,3000,600,400,150,P
薄膜贴片26×36,C,0.0003,4.0,36,26,0.26,16800,600,400,150,P
薄膜复合贴片Φ30,C,0.0006,2.0,30,29.92,0.71,10800,600,400,150,P
密封贴片Φ30,C,0.0002,6.0,30,29.92,0.3,21600,600,400,150,P
LLP总成右连接板,C,0.09,1.0,45.33,61.52,208.26,60,435,325,210,P
LLP总成左连接板焊接总成,C,0.097,1.0,45.33,61.52,208.26,60,435,325,210,P
坦克链线束左安装支架焊接总成,C,0.094,1.0,172.97,60.08,17.48,60,435,325,210,P
坦克链线束右安装支架焊接总成,C,0.094,1.0,172.97,60.08,17.48,60,435,325,210,P
左前轮速传感器线束安装支架,C,0.046,1.0,100,67,27,100,435,325,210,P
右前轮速传感器线束安装支架,C,0.046,1.0,100,67,27,100,435,325,210,P
前端保险丝盒下支架焊接总成,C,0.082,1.0,109.12,50.83,117.5,220,435,325,160,P
前部下防护板,C,932,1.0,1690,813,52,65,2000,1140,750,P
前部下防护板支架,C,1.17,1.0,873,593,39,48,1580,1070,1150,P
后保左防护板,C,0.579,1.0,558,440,197,8,1100,550,330,P
后保右防护板,C,0.447,1.0,558,440,197,20,1100,550,260,P
后底护板油箱支架,C,0.021,2.0,76,74,62,200,600,400,220,P
前雨刮电机及支架总成,C,2.135,1.0,579,195,145,60,1200,1000,1050,P
前雨刮臂端盖,C,0.0029,2.0,27,27,22,1600,400,300,147,P
左前雨刮臂总成,C,0.458,1.0,649,101,74,20,670,272,220,P
右前雨刮臂总成,C,0.543,1.0,649,101,74,20,840,272,220,P
左前刮片总成,C,0.125,1.0,694,41,39,64,780,400,230,P
右前刮片总成,C,0.08,1.0,694,41,39,64,600,400,230,P
后雨刮电机及支架总成,C,0.81,1.0,139.58,212.06,143.38,16,650,435,260,P
后雨刮胶套,C,0.009,1.0,19.46,27,25.85,600,650,435,260,P
后管路总成,C,0.034,1.0,679.55,500.92,62.83,120,650,435,260,P
加液管总成,C,0.076,1.0,98.87,86.6,339.14,30,650,435,260,P
水箱上横梁左安装板,C,0.193,1.0,281.91,98.56,58.91,60,435,325,210,P
水箱上横梁右安装板,C,0.193,1.0,281.91,98.56,58.91,60,435,325,210,P
左门槛前挡块,C,0.275,1.0,50.81,96.59,204.3,50,435,325,160,P
右门槛前挡块,C,0.275,1.0,50.81,96.59,204.3,50,435,325,160,P
左CCB连接支架,C,0.11,1.0,62.66,29.7,119.03,50,435,325,210,P
右CCB连接支架,C,0.11,1.0,62.66,30.2,119.03,50,435,325,210,P
前机盖拉手总成,C,0.033,1.0,75,54,50,45,550,365,110,P
前机盖拉手总成,C,0.033,1.0,75,54,50,45,550,365,110,P
转向柱下护罩总成,C,0.315,1.0,262,245,238,6,650,435,330,P
左前延伸板总成,B,0.203,1.0,326,236,72,10,650,435,260,P
右前延伸板总成,B,0.172,1.0,326,236,72,10,650,435,260,P
左前门槛迎宾护板合件,B,0.547,1.0,645,323,114,14,1140,1140,1090,DU
右前门槛迎宾护板合件,B,0.547,1.0,645,323,114,14,1140,1140,1090,DU
左滑移门下铰链饰板总成,B,0.13,1.0,324,157,40,24,730,365,210,P
右滑移门下铰链饰板总成,B,0.13,1.0,324,157,40,24,730,365,210,P
左后门槛迎宾护板合件,B,0.828,1.0,1046,195,162,4,1100,550,260,DU
右后门槛迎宾护板合件,B,0.828,1.0,1046,195,162,4,1100,550,260,DU
拉手盒扣盖,C,0.051,1.0,255,46,44,12,550,365,160,P
后背门上装饰板总成,B,0.609,1.0,1210,141,92,6,1100,550,260,P
后背门下装饰板总成,B,3.047,1.0,1340,627,174,10,1600,1140,1900,P
背门门槛护板总成,B,0.842,1.0,1081,162,133,24,1330,1140,1090,P
后背门左侧装饰板总成,B,0.31,1.0,479,254,216,6,700,500,360,P
后背门右侧装饰板总成,B,0.276,1.0,479,254,216,6,700,500,360,P
天窗卷帘总成,B,3.09,1.0,902,891,67,8,1150,1000,1117,P
天窗总成,A,12.2,1.0,1030,137,737,8,1210,900,1150,P
左A柱天窗排水管,C,0.2,1.0,1008,898,312,20,600,400,280,P
右A柱天窗排水管,C,0.2,1.0,1008,898,312,20,600,400,280,P
天窗玻璃顶总成,A,6.2,1.0,917,711,44,10,1400,1100,1050,P
左C柱天窗排水管,C,0.26,1.0,1392,857,443,15,600,400,280,P
右C柱天窗排水管,C,0.26,1.0,1391,867,477,15,600,400,280,P
顶棚后部内饰板总成,B,0.711,1.0,1033,200,68,7,1100,550,260,P
左后侧围下部安装支架,C,0.322,1.0,388,100,100,18,650,435,260,P
右后侧围下部安装支架,C,0.322,1.0,393,100,100,18,650,435,260,P
左B柱下护板总成,B,0.885,1.0,471.04,756.8,166.05,18,1140,1140,1950,P
右B柱下护板总成,B,0.885,1.0,472.04,757.8,167.05,18,1140,1140,1950,P
左后角窗气帘导向支架,C,0.085,1.0,268,84,76,30,650,435,260,P
右后角窗气帘导向支架,C,0.085,1.0,268,84,76,30,650,435,260,P
左C柱气帘导向支架,C,0.04,1.0,187,69,35,80,650,435,260,P
右C柱气帘导向支架,C,0.04,1.0,187,69,35,80,650,435,260,P
后侧围右维修盖板,C,0.587,1.0,569.6,417.96,27.19,15,700,500,360,P
后侧围右维修盖板,C,0.587,1.0,570.6,418.96,28.19,15,700,500,360,SP
B柱把手螺钉盖板1,C,0.0094,4.0,59.28,55.94,47.64,119,550,365,110,P
左滑门滑轨下部装饰件总成,B,0.34,1.0,917,157,40,12,1100,365,210,P
左坦克链装饰件总成,C,0.044,1.0,146,54,52,80,650,435,260,P
右坦克链装饰件总成,C,0.044,1.0,146,54,52,80,650,435,260,P
左遮阳板,C,0.53,1.0,440.67,194.44,79.54,10,600,400,280,P
遮阳板挂钩,C,0.02,2.0,55.98,42.54,40.52,120,365,275,160,P
遮阳板底座盖板,C,0.006,2.0,73.29,30.29,41.37,200,365,275,160,P
左后吹足管道前段总成,C,0.2804,1.0,386,329,192,10,650,435,330,P
右后吹足管道前段总成,C,0.2804,1.0,386,329,192,10,650,435,330,P
后吹足管道分风器总成,C,0.215,1.0,264,169,79,16,650,435,260,P
左后吹足管道后段,C,0.1644,1.0,236,182,95,16,650,435,260,P
右后吹足管道后段,C,0.1644,1.0,236,182,95,16,650,435,260,P
行李箱左侧围吸音棉,C,0.07,1.0,400,122,110,16,1000,400,280,P
行李箱右侧围吸音棉,C,0.065,1.0,400,122,110,16,1000,400,280,P
风窗下装饰板合件,B,1.425,1.0,298.77,177.21,1588.6,21,1850,1140,1180,DU
左前门玻璃总成,A,4.34,1.0,1147,963,184,40,1170,1030,880,P
右前门玻璃总成,A,4.34,1.0,1148,963,184,40,1170,1030,880,P
左前门玻璃后下导轨,C,0.104,1.0,370,99,98,50,900,470,260,P
右前门玻璃后下导轨,C,0.104,1.0,370,99,98,50,900,470,260,P
左前门玻璃升降器总成,B,1.384,1.0,613,597,101,24,1200,1000,760,P
右前门玻璃升降器总成,B,1.384,1.0,613,597,101,24,1200,1000,760,P
车门锁扣总成,C,0.11,2.0,60.34,40.64,46.31,60,550,365,160,P
左前门玻璃导槽总成,B,0.97,1.0,985,959,201,78,1470,1150,900,P
右前门玻璃导槽总成,B,0.97,1.0,985,959,201,78,1470,1150,900,P
左前门窗台外密封条总成,B,0.55,1.0,1058,79,41,32,1200,400,230,P
右前门窗台外密封条总成,B,0.55,1.0,1058,79,41,32,1200,400,230,P
左前门窗台内密封条总成,C,0.3,1.0,812,73,41,32,1000,400,230,P
右前门窗台内密封条总成,C,0.3,1.0,812,73,41,32,1000,400,230,P
左前门前防水膜,C,0.028,1.0,213,137,23,100,650,435,260,P
右前门前防水膜,C,0.028,1.0,213,137,23,100,650,435,260,P
左前车门防污条总成,C,0.169,1.0,2129,45,25,32,1100,550,330,P
右前车门防污条总成,C,0.169,1.0,2129,45,25,32,1100,550,330,P
左前门窗框上装饰亮条,B,0.2455,1.0,980,300,90,30,1100,365,210,P
右前门窗框上装饰亮条,B,0.2455,1.0,980,300,90,30,1100,365,210,P
左前门下防水膜,C,0.018,1.0,152,134,17,160,650,435,260,P
右前门下防水膜,C,0.018,1.0,152,134,17,160,650,435,260,P
左前外开手柄密封垫,C,0.005,1.0,128,57,13,380,600,400,148,P
左前外开手柄端盖支座,C,0.028,1.0,104,55,50,110,600,400,280,P
右前外开手柄密封垫,C,0.005,1.0,128,57,13,380,600,400,148,P
右前外开手柄端盖支座,C,0.028,1.0,104,55,50,110,600,400,280,P
前门限位器总成,C,0.22,2.0,182,81,61,50,550,365,160,P
左滑移门驱动机构总成安装板总成,C,0.396,1.0,15,15,14,10,650,435,210,P
右滑移门驱动机构总成安装板总成,C,0.396,1.0,15,15,14,10,650,435,210,P
左滑移门中导轨总成,C,2.246,1.0,932,151,80,5,1200,600,120,P
右滑移门中导轨总成,C,2.246,1.0,926,150,75,5,1200,600,120,P
左滑移门下导轨安装板,C,1.821,1.0,911,296,87,5,1100,365,210,P
右滑移门下导轨安装板,C,1.821,1.0,911,296,87,5,1100,365,210,P
滑移门上导向座,C,0.011,2.0,45,31,27,200,285,185,160,P
滑移门下导向座,C,0.0338,2.0,83,34,18,150,285,185,160,P
滑移门下导向块,C,0.0325,2.0,79,37,18,150,285,185,160,P
左滑移门下导轨总成,C,1.269,1.0,941,195,66,10,1200,600,230,P
右滑移门下导轨总成,C,1.269,1.0,941,195,66,10,1000,400,200,P
左滑移门玻璃后下导轨,C,0.223,1.0,312,93,74,30,600,400,220,P
右滑移门玻璃后下导轨,C,0.223,1.0,312,93,74,30,600,400,220,P
左后门玻璃升降器总成,B,1.303,1.0,630,487,100,32,1200,1000,760,P
右后门玻璃升降器总成,B,1.303,1.0,630,487,100,32,1200,1000,760,P
左滑移门全开锁总成,C,0.18,1.0,147,125,29,30,600,400,120,P
左滑移门全开锁锁扣总成,C,0.316,1.0,172,67,50,15,600,400,120,P
滑移门后锁锁扣总成,C,0.105,2.0,63.6,54.01,53.98,100,400,300,120,P
右滑移门全开锁总成,C,0.18,1.0,147,125,29,30,600,400,120,P
右滑移门全开锁锁扣总成,C,0.316,1.0,172,67,50,15,600,400,120,P
左滑移门上铰链总成,C,0.581,1.0,150.5,43.62,180.71,16,365,275,210,P
左滑移门中铰链总成,C,1.17,1.0,153,116,119,6,550,365,160,P
左滑移门下铰链总成,C,2.483,1.0,311,254,183,4,650,435,210,P
右滑移门上铰链总成,C,0.581,1.0,151.5,44.62,181.71,16,365,275,210,P
右滑移门中铰链总成,C,1.17,1.0,153,116,119,6,550,365,160,P
右滑移门下铰链总成,C,2.483,1.0,311,254,183,4,650,435,210,P
左滑移门窗台外密封条总成,B,0.6,1.0,1273,56,33,32,1400,400,230,P
