零件名称,零件重量,零件尺寸L,零件尺寸W,零件尺寸H,零件分类,来料包装L,来料包装W,来料包装H,是否需防锈,CKD包装类型,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
快充充电插座总成,2.4,1060.0,90.0,90.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
慢充充电插座总成,1.69,1800.0,80.0,80.0,小尺寸件（来料塑料箱）,550.0,365.0,210.0,,纸箱,,,,,,,,
电池包后高压线束总成,1.65,2445.0,90.0,45.0,线束类,550.0,365.0,210.0,,纸箱,,,,,,,,
前管路总成,0.135,0.0,0.0,0.0,小尺寸件（来料塑料箱）,650.0,435.0,260.0,,纸箱,,,,,,,,
电池包总成,,1213.0,1354.0,147.0,DKD件,2330.0,1330.0,450.0,,木箱,,,,,,,,
仪表板左端盖总成,,420.0,250.0,100.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
仪表板左下底板总成,,570.0,380.0,125.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,160.0
仪表板左端盖总成,,420.0,150.0,100.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
左下护板总成,,519.0,273.0,157.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
左下护板总成,,519.0,273.0,157.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
车架左前段总成,,2440.0,1440.0,1010.0,焊装件,2440.0,1440.0,1000.0,是,,,,,,,,,
前围焊接分总成,,1480.0,650.0,309.0,焊装件,1600.0,1150.0,850.0,是,,,,,,,,,
车架右前段总成,,2440.0,1440.0,1010.0,焊装件,2440.0,1440.0,1000.0,是,,,,,,,,,
水泵总成,,135.0,92.0,132.0,DKD件,550.0,365.0,210.0,,纸箱,,,,,,,,
空调进气道风管总成,,350.0,400.0,150.0,DKD件,1200.0,1000.0,590.0,,天地盖纸箱,,,,,,,,
清洗剂储液罐总成,,1.0,1.0,1.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
前围加强梁总成,,1138.0,490.0,317.0,焊装件,1330.0,1140.0,765.0,是,,,,,,,,,
后部下防护板支架,,544.0,324.0,81.0,DKD件,650.0,435.0,260.0,,纸箱,,,,,,,,
前地板后地毯总成,5.178,1510.0,990.0,311.0,内外饰件类,1650.0,1550.0,1150.0,,天地盖纸箱,,,,,,,,
后消声器总成,,1280.0,1018.0,354.0,DKD件,1920.0,1140.0,1200.0,,天地盖纸箱,,,,,,,,
智能助力器总成,4.8,357.0,250.0,192.0,来料纸箱件,1140.0,974.0,1020.0,,天地盖纸箱,,,,,,,,
左前门内饰板合件,3.497,973.0,660.0,340.0,内外饰板类,1950.0,1150.0,2200.0,,天地盖纸箱,,,,,,,,
右前门内饰板合件,3.497,973.0,660.0,340.0,内外饰板类,1950.0,1150.0,2200.0,,天地盖纸箱,,,,,,,,
左后门内饰板合件,3.497,900.0,698.0,285.0,内外饰板类,1950.0,1150.0,2200.0,,天地盖纸箱,,,,,,,,
右前门玻璃总成,4.072,948.0,553.0,5.0,玻璃类,1140.0,1140.0,800.0,,天地盖纸箱,,,,,,,,
左前门玻璃总成,4.072,948.0,553.0,5.0,玻璃类,1140.0,1140.0,800.0,,天地盖纸箱,,,,,,,,
燃油箱带油泵总成,16,1095.0,462.0,305.0,大尺寸件（金属箱/围板箱来料）,1600.0,1140.0,1200.0,,纸箱,,,,,,,,
右纵梁前段外板焊接总成,,1100.0,500.0,300.0,焊装件,1330.0,1140.0,760.0,是,,,,,,,,,
纵梁前段外板焊接总成（左）,,1100.0,500.0,300.0,焊装件,1330.0,1140.0,760.0,是,,,,,,,,,
前围横梁组件,,382.0,180.0,59.0,焊装件,650.0,435.0,210.0,是,,,,,,,,,
前端排气管总成,3.45,,,,,1200.0,1150.0,1150.0,,纸箱,,,,,,,,
发动机装饰罩总成,,1257.0,665.0,81.0,DKD件,1400.0,1140.0,1150.0,,天地盖纸箱,,,,,,,,
随车工具总成,,250.0,155.0,95.0,DKD件,650.0,435.0,210.0,,纸箱,,,,,,,,
前地板前地毯总成,3.44,1650.0,1550.0,1050.0,内外饰件类,1650.0,1550.0,1050.0,,天地盖纸箱,,,,,,,,
随车工具盒,,335.0,218.0,101.0,DKD件,650.0,435.0,330.0,,纸箱,,,,,,,,
前围下板总成,,1204.0,220.0,268.0,焊装件,1600.0,1150.0,1200.0,是,,,,,,,,,
前电机左前悬置总成,3.14,,,,,435.0,325.0,210.0,,纸箱,,,,,,,,
行李箱地板内隔音垫,3,1083.0,1066.0,167.0,大尺寸件（金属箱/围板箱来料）,1600.0,1120.0,1020.0,,天地盖纸箱,,,,,,,,
前电机右前悬置总成,2.77,,,,,435.0,325.0,210.0,,纸箱,,,,,,,,
左后空气弹簧总成,2.7,,,,,1330.0,1140.0,1090.0,,纸箱,,,,,,,,
右后空气弹簧总成,2.7,,,,,1330.0,1140.0,1090.0,,纸箱,,,,,,,,
前连接轴总成,2.59,,,,,1100.0,900.0,940.0,,纸箱,,,,,,,,
发动机右悬置总成,2.54,1.0,1.0,1.0,小尺寸件（来料塑料箱）,435.0,325.0,210.0,,纸箱,,,,,,,,
前机舱封板加强板总成（左）,,800.0,480.0,100.0,焊装件,1200.0,1000.0,1150.0,是,,,,,,,,,
前机舱封板加强板总成（右）,,800.0,480.0,100.0,焊装件,1200.0,1000.0,1150.0,是,,,,,,,,,
后围板焊接总成,,1500.0,450.0,200.0,焊装件,1600.0,1150.0,1150.0,是,,,,,,,,,
门槛内板总成（右）,,2000.0,110.0,310.0,焊装件,2300.0,1150.0,545.0,是,,,,,,,,,
ESC执行机构总成,2.2,144.0,105.0,124.0,小尺寸件（来料塑料箱）,400.0,300.0,148.0,,纸箱,,,,,,,,
